,cc01-20covid1,cc01-20covid2,cc03-19covid,cc01-20mock2,cc01-20mock1,cc03-19mock1
TSPAN6,3873,4172,5537,4663,3788,3098
TNMD,0,0,2,0,0,7
DPM1,2184,2337,1902,1373,1498,2099
SCYL3,740,835,1073,922,889,634
C1orf112,750,882,430,180,201,492
FGR,1,2,6,0,9,14
CFH,4517,5005,5791,6234,8134,5160
FUCA2,6970,7354,4633,2809,3039,6327
GCLC,7410,7872,3785,2807,2767,9179
NFYA,1367,1469,1358,930,1115,1117
STPG1,912,853,611,523,463,804
NIPAL3,4283,4297,3778,3168,3864,4535
LAS1L,2243,2347,1499,1123,1360,2379
ENPP4,2039,1880,1267,1697,2103,803
SEMA3F,1082,1274,4072,3094,2458,4569
CFTR,237,256,270,1227,1649,224
ANKIB1,1396,1273,958,621,716,973
CYP51A1,24500,23639,11707,7824,8715,14020
KRIT1,1069,1408,908,1149,1453,1068
RAD52,187,177,201,418,370,146
MYH16,121,103,33,12,1,46
BAD,3376,3299,2452,2080,2355,2405
LAP3,6740,7637,8239,2200,2343,3293
CD99,2254,2432,2422,1636,1950,3310
PAR_Y_CD99,2254,2432,2422,1636,1950,3310
HS3ST1,748,640,2940,1161,1930,2545
AOC1,51,24,396,84,50,223
WNT16,7,0,15,4,4,94
HECW1,22,36,11,3,23,32
MAD1L1,2473,2607,2092,1048,1087,2256
LASP1,9494,9684,8237,3610,5104,8464
SNX11,1315,1305,1392,773,641,1177
TMEM176A,8,5,115,106,146,15
M6PR,8391,8660,6483,4189,5727,7791
KLHL13,272,239,104,299,329,403
CYP26B1,40,10,112,16,35,64
ICA1,2497,2579,1093,1702,2059,862
DBNDD1,2236,2228,1305,659,861,1660
ALS2,1604,1440,1085,856,1090,1311
CASP10,2417,2651,1376,1397,1473,1020
CFLAR,13204,13579,9354,6386,6617,4391
TFPI,13320,13363,9599,17086,21592,11903
NDUFAF7,888,923,812,708,858,647
RBM5,2946,3465,4675,6165,6067,2819
MTMR7,27,35,49,23,15,16
SLC7A2,41,27,84,56,113,98
ARF5,4195,4353,3701,3324,3050,3916
SARM1,333,379,347,588,667,216
POLDIP2,10390,10615,6928,4727,4934,9007
PLXND1,1083,1239,1507,1632,2046,1504
AK2,7507,7834,7459,6055,7217,7929
CD38,405,545,505,97,88,116
FKBP4,4281,4250,4430,3287,3710,6107
KDM1A,5831,6335,5126,3526,4329,5974
RBM6,2794,2944,2637,4067,4343,1864
CAMKK1,273,354,307,635,624,275
RECQL,2958,3041,2279,1284,1590,3395
VPS50,1496,1505,1156,883,732,1007
HSPB6,45,33,328,511,404,1854
ARHGAP33,16,21,30,33,66,34
NDUFAB1,3724,3945,2475,1849,1866,3823
PDK4,2868,2793,3235,1093,1399,4111
SLC22A16,0,0,0,0,0,0
ZMYND10,625,834,124,1317,1911,3
ABCB5,0,0,2,0,0,0
ARX,0,1,1,0,3,0
SLC25A13,1759,1721,1851,808,826,2769
ST7,3103,2986,1539,1835,2259,1522
CDC27,2060,2102,1592,1057,1162,2363
SLC4A1,0,0,0,1,0,0
CALCR,0,0,0,5,55,0
HCCS,2162,2206,1658,1179,913,2276
DVL2,1780,1816,2641,1997,2535,1458
PRSS22,1475,1505,4888,1505,1446,941
UPF1,4366,5201,5883,3861,4803,4141
SKAP2,1434,1449,1277,777,1111,1400
SLC25A5,14878,15560,9956,7393,7140,12571
MCUB,1385,1589,895,530,579,1083
HOXA11,0,1,2,8,0,1
POLR2J,1429,1541,1262,880,994,1311
DHX33,206,214,306,235,176,288
MEOX1,5,0,6,2,10,0
THSD7A,185,268,146,167,157,155
LIG3,1378,1451,1101,847,1051,1074
RPAP3,1794,1915,1240,991,1050,1629
ACSM3,582,595,193,428,698,437
REXO5,197,338,128,118,150,216
CIAPIN1,4045,3839,2778,1807,1652,4159
SPPL2B,1294,1731,2524,1798,1659,1558
FAM214B,1267,1255,1638,876,802,1830
COPZ2,179,189,186,438,403,630
PRKAR2B,104,132,524,580,695,799
MSL3,1380,1447,1493,863,1079,886
CREBBP,807,867,1091,900,1133,629
TSPOAP1,78,43,49,300,345,2
MPO,0,0,0,10,0,0
PON1,9,6,9,17,50,6
GCFC2,680,970,558,686,765,830
WDR54,539,601,317,954,1304,492
CROT,1398,1441,2055,2165,1708,2922
ABCB4,0,0,2,6,3,9
KMT2E,2018,2197,3439,3636,4208,1461
RHBDD2,4617,4853,5996,4037,4879,4463
SOX8,5,12,4,9,9,5
IBTK,4616,4751,3571,2809,2892,4675
ZNF195,1239,1214,969,1006,1053,864
MYCBP2,484,612,698,1134,848,767
FBXL3,2496,2341,2003,2258,2425,2211
ITGAL,0,5,13,4,0,6
PDK2,1394,1280,1400,1442,1496,1052
ITGA3,16068,15203,9479,6856,9966,23936
ZFX,1990,2077,1529,1660,1868,1397
LAMP2,12209,11901,12340,11147,13184,15324
ITGA2B,5,4,5,10,27,4
ASB4,3,2,7,67,73,3
GDE1,9708,10074,8685,6778,7889,6569
REX1BD,1311,1455,1577,1257,1197,1558
CRLF1,67,70,81,21,39,43
OSBPL7,2505,2709,2200,827,892,1001
TMEM98,4888,4741,1819,1922,2359,2501
YBX2,0,6,37,14,4,2
KRT33A,0,1,14,1,0,29
MAP3K14,237,250,278,287,442,221
ABCC8,0,12,1,6,13,0
CACNG3,0,0,0,0,0,0
TMEM132A,3235,3086,9099,2663,3042,6363
AP2B1,12397,12116,5728,4811,6665,11855
TAC1,5,3,1,0,0,2
ZNF263,1443,1539,1850,1469,1653,1461
CX3CL1,936,817,1984,875,1290,675
SPATA20,3775,3751,3283,2538,3186,3847
CACNA1G,0,0,5,0,1,2
TNFRSF12A,13024,12664,8436,1443,1535,8052
DLX6,0,0,0,0,0,0
MAP3K9,1404,1418,2848,1475,1182,1190
RALA,3437,3569,3683,2617,2238,3483
BAIAP2L1,4843,4922,6629,2912,3602,3866
KDM7A,414,344,1368,793,720,508
ETV1,2960,2889,1814,2571,3002,1385
AGK,1493,1860,1366,1151,1223,1776
ALDH3B1,3834,4084,3642,2783,3373,1764
TTC22,1230,1316,2626,2094,1329,1900
PHTF2,975,1097,1255,792,1138,1044
CCL26,6,5,12,7,10,8
FARP2,1815,1966,2324,1694,1692,1937
USH1C,0,3,3,11,10,3
GGCT,1806,1839,893,711,614,2234
DBF4,579,641,454,342,383,730
TBXA2R,29,18,26,31,22,59
IFRD1,2856,2704,2858,2778,2588,1971
LGALS14,0,0,0,0,0,0
COX10,1207,1331,1125,908,1072,1523
GTF2IRD1,1872,1970,2501,1178,1008,1227
PAF1,3146,3205,2156,1495,1607,2721
VPS41,4285,4005,3334,3221,3626,3087
ARHGAP44,2246,2246,728,1592,2329,1390
ELAC2,6700,6630,4151,2793,2979,6252
SCIN,2875,3012,2501,2678,4002,1619
ARSD,2669,2963,1031,3016,3641,1180
PNPLA4,1182,1260,613,1048,1160,930
MYH13,0,0,0,0,0,0
ADIPOR2,1341,1189,1299,1241,1138,1389
CDKL3,35,31,32,65,45,41
UPP2,0,0,0,0,0,0
PRSS21,18,21,23,52,50,44
MARK4,115,89,195,136,134,268
PROM1,329,294,221,343,415,33
CCDC124,2314,2569,2088,1190,1175,2083
CEACAM21,0,0,0,0,6,0
PAFAH1B1,3236,3264,2620,1869,2106,2738
NOS2,17,1,3,18,46,0
DNAH9,49,166,8,208,433,26
KIAA0100,8356,8727,5897,4375,4435,7209
SLC13A2,3,15,51,17,34,0
AC005747.1,28,33,32,108,31,90
TRAPPC6A,238,255,311,1030,1248,272
MATK,1,0,1,0,0,0
CEACAM7,198,197,11792,8039,1486,495
CD79B,0,0,0,0,0,0
SCN4A,0,0,2,0,0,0
ST7L,715,678,532,577,498,613
TKTL1,0,0,1,0,0,0
PAX6,0,0,0,0,0,0
RPUSD1,2214,2182,1863,725,649,2259
RHBDF1,3410,3404,6291,2449,2733,4209
LUC7L,1809,1943,3872,4085,4522,1851
CACNA2D2,172,160,293,1281,1557,52
BAIAP3,264,352,300,414,492,107
TSR3,3610,3775,2792,1732,1974,3553
PIGQ,2693,2769,3025,2293,2318,1911
CRAMP1,543,681,996,809,963,567
TEAD3,842,857,1658,904,884,770
SELE,36,95,807,6,6,40
DNAJC11,4018,4008,3136,1569,1676,4690
FMO3,74,100,42,62,66,31
MYLIP,460,491,950,1254,1467,429
NOX1,13,7,20,17,24,9
E2F2,125,181,125,114,29,193
PSMB1,8814,9705,6627,4775,4976,8174
SYN1,18,8,40,25,29,36
JARID2,814,601,1216,785,991,1028
CDKL5,314,320,387,354,403,183
CAMK1G,10,7,76,24,19,57
CDK11A,403,469,933,420,414,383
NADK,6418,6270,6380,3156,3860,5242
TFAP2B,0,0,0,0,0,0
TFAP2D,0,0,0,0,0,0
DLEC1,81,181,93,140,277,43
CYTH3,1886,1706,1002,739,733,1052
ADAM22,2,12,12,18,18,3
SYPL1,8846,8916,6950,7641,7086,11686
CYB561,5675,5892,4481,3513,3868,3079
SPAG9,4031,3865,4489,2028,2606,3093
CELSR3,7,28,59,69,164,21
AASS,956,1188,520,2278,2416,393
PLEKHG6,522,509,1263,745,649,481
SS18L2,1068,1072,707,712,758,786
MPND,515,540,370,380,357,312
MGST1,44301,47202,24345,20979,21707,26882
CRY1,1928,1734,1419,1020,1666,1055
PGLYRP1,0,0,0,1,2,0
NFIX,1192,1151,621,811,982,840
ST3GAL1,3571,3534,3522,3790,4701,4687
MMP25,25,21,100,62,65,41
IL32,1614,1589,658,317,240,623
PKD1,401,329,924,1118,1210,649
MAPK8IP2,88,53,51,12,24,82
MED24,4300,5192,4737,2461,3052,7668
RHOBTB2,11236,11523,4069,5961,7544,4384
HEATR5B,1104,1190,1036,1253,1334,1047
SEC62,5181,5047,4273,3607,4665,4159
RPS20,5780,6020,4567,5540,6162,5539
CSDE1,23281,23894,25444,18183,21048,25974
UBE3C,5482,5241,4011,2274,2898,6095
REV3L,813,966,677,1092,1300,675
TENM1,0,0,0,1,1,0
PAX7,0,0,12,12,5,10
MASP2,6,1,4,7,6,2
IYD,135,207,104,176,134,63
FAM76A,518,543,448,528,480,303
TRAF3IP3,3,23,3,1,3,18
POMT2,1565,1709,902,484,646,1018
VTA1,4522,4472,3902,2693,2619,4524
MLXIPL,90,112,68,356,482,8
BAZ1B,2189,2106,1792,1678,2151,1844
RANBP9,1466,1533,2565,1743,1547,1710
ETV7,736,881,916,290,409,79
SPRTN,775,830,683,407,306,797
EEF1AKNMT,2583,2544,1788,1174,1077,2127
DYRK4,434,443,334,441,620,475
ZNF207,8484,8551,11478,6530,6528,6611
UQCRC1,12981,12944,9725,7178,7569,15534
STARD3NL,3570,3755,2086,1924,2309,2264
CD9,51150,48567,33978,38816,25457,34554
HHATL,0,1,0,8,6,3
NCAPD2,2309,2442,2081,1645,2040,2453
IFFO1,52,53,233,346,168,619
GIPR,116,234,375,427,498,104
PHF7,176,167,125,245,386,169
SEMA3G,0,3,5,15,13,1
NISCH,2323,2423,2722,3493,4200,3054
STAB1,20,1,2,5,4,1
FUZ,540,530,397,507,501,200
SLC6A13,4,8,4,8,5,1
IDS,11817,11657,8117,5062,6257,5723
PRSS3,932,767,785,998,145,1866
ZNF200,654,572,548,443,387,419
CD4,94,65,160,378,293,781
LRRC23,382,404,193,498,757,154
BTK,0,5,1,0,0,0
HFE,736,766,519,537,654,520
SCMH1,1161,1244,735,938,1182,1181
FYN,208,252,320,293,318,594
HIVEP2,440,484,1140,356,512,326
FMO1,0,0,1,5,0,0
ELOA,5980,6132,5005,3273,3400,4875
LYPLA2,6592,6374,5218,2591,2586,6014
CLCN6,968,938,1039,778,977,687
MRC2,1128,946,1599,3719,4919,4819
NME1-NME2,3599,3811,1690,1104,1392,4208
SLC6A7,1,0,11,0,8,12
TSPAN9,296,333,294,377,410,315
BTBD7,1346,1279,1358,1268,1088,1183
APBA3,1078,1084,1234,869,1045,749
MKS1,751,833,601,855,905,596
ABHD5,2056,2065,3302,1647,1329,1577
ANOS1,436,323,199,265,385,118
AKAP8L,3537,4074,7975,5290,5498,3437
MBTD1,137,142,351,423,354,108
UTP18,2227,2362,1723,1343,1389,2204
RNF216,1504,1812,1760,1459,1676,1726
TTC19,4276,4480,3250,3486,4557,3487
PTBP1,10531,10820,10969,5524,6404,10605
DPF1,4,4,5,7,6,29
SYT7,73,70,203,236,363,78
LARS2,2079,2261,1240,675,784,1802
PIK3C2A,2280,2440,1626,2118,2469,2028
PLAUR,4724,4641,5143,953,1371,2030
ANLN,3164,3614,1765,629,1270,4096
WIZ,927,916,716,535,535,975
RABGAP1,2728,2996,3490,2994,2971,2676
DCN,171,194,2561,2364,2499,2252
QPCTL,228,232,161,186,235,278
PPP5C,2837,3078,1962,1399,1498,2682
CEP68,625,620,784,1308,1497,538
MAP4K3,3435,3225,3560,1610,2347,2677
ZBTB32,1,2,6,0,1,0
TYROBP,0,0,0,0,4,0
TMEM159,1280,1203,1977,1989,1888,1962
GABRA3,0,1,0,0,0,0
BRCA1,323,623,183,149,248,490
ERCC1,2064,2174,2405,2354,2577,4162
CD22,10,0,1,0,0,10
SEMA3B,1509,1469,3546,1744,2131,660
MBTPS2,1989,1856,1211,1055,1320,1489
PRICKLE3,554,558,525,823,701,606
LTF,946,886,7,14807,19425,1567
EXTL3,2908,3057,2511,2125,3211,3812
NR1H4,0,0,8,0,10,31
ELOVL5,8867,8702,4383,2544,3043,6138
ALOX5,340,428,825,217,313,354
KDM5D,89,32,1044,175,207,527
CALCOCO1,4055,4325,11147,7285,8175,3085
UBR7,2405,2490,1549,1243,1715,1675
MAP4K5,2837,2651,2695,2235,2427,2877
EHD3,539,548,2082,1616,295,1377
PSMC4,5590,5866,4313,2097,1948,4820
MAN2B2,2389,2241,1939,1414,1924,2973
SLC7A14,0,0,0,0,0,29
CLDN11,4,11,19,55,50,153
SLC25A39,11092,11148,8660,4695,4382,11024
MVP,36894,37333,25213,18324,22955,28920
NUB1,2646,2853,2325,1238,1541,1342
PGM3,4047,3995,3401,2768,4109,3926
RWDD2A,387,427,430,683,807,296
CLK1,984,1077,2308,3977,4806,747
POLR3B,1342,1400,783,622,637,969
ANGEL1,1153,1046,836,1314,1827,1162
RNF14,3761,3781,2400,1856,2042,3637
DNASE1L1,1078,1176,760,721,845,1470
DDX11,1426,1891,4246,1722,2252,1556
HEBP1,1312,1462,1417,973,1209,1417
GPRC5A,59686,55803,48143,12542,16943,23785
MAMLD1,73,79,87,85,59,103
CD6,12,19,28,17,11,48
TACC3,1429,1392,884,332,295,1413
UFL1,2370,2341,2009,2715,3089,1996
POLA2,409,554,518,384,342,375
ZC3H3,1521,1474,1756,898,1216,1662
CAPN1,33257,32528,32103,15726,15329,30829
ACPP,468,491,406,919,668,357
MDH1,9239,9537,6072,6053,6077,8254
SLC30A9,5679,5968,3938,3775,3973,5576
MTMR11,493,554,1106,1531,1751,493
COX15,2662,2682,1778,1807,1893,2166
CCDC88C,676,759,1353,1078,1389,675
YAF2,355,356,303,255,317,304
ZMYND11,3128,3081,2339,2610,2477,2598
WAS,0,2,9,0,10,4
DPEP1,3,0,2,0,0,0
BID,3107,2886,3866,1472,1883,4241
MATR3,11924,12440,12523,10003,12169,11182
NPC1L1,5,2,8,14,28,19
XYLT2,1653,1641,1475,2049,2531,2344
RGPD5,145,31,105,329,322,50
STMN4,0,0,1,0,0,0
NUDCD3,5286,5760,4502,3616,4576,5334
ISL1,57,44,94,78,133,71
CHDH,407,473,328,550,631,132
IL20RA,901,957,1018,1216,1191,1300
CLCA1,0,0,0,0,1,0
CLCA4,759,758,12789,12802,3307,4353
GLT8D1,1772,2010,1738,2019,2431,2007
ATP2C1,5786,6022,4091,3609,3723,5250
IGF1,1,3,9,5,12,0
SLC38A5,2412,2522,1946,892,1357,1401
RALBP1,3250,3164,3374,2391,2389,3381
RUFY3,1413,1438,1956,2231,2023,1429
CNTN1,235,300,147,546,405,1686
SLC11A1,5,6,27,22,38,11
WWTR1,4633,4569,4750,3272,4204,6530
AGPS,3973,3855,1645,759,1176,2655
ZNF806,0,0,0,0,0,0
CXorf56,593,550,548,296,477,455
ATP1A2,13,7,0,0,0,10
TTC27,1468,1435,930,739,709,1396
ZNF582,50,81,100,46,35,112
VSIG2,2471,2628,5132,2864,2463,1910
PHLDB1,1178,1363,1595,958,965,2111
MARCO,0,5,2,3,3,17
CYP24A1,156,133,655,52,61,32
PRDM11,106,82,111,150,222,127
SYT13,0,0,0,0,0,0
SNAI2,1613,1390,1257,914,917,3072
CD74,33839,35388,17535,53108,62582,34446
HGF,112,141,1657,498,373,1809
ZRANB1,838,813,1634,1091,799,716
NCDN,3284,3102,2541,1571,1836,3675
ADGRA2,110,72,216,698,711,953
CCT8L1P,0,0,0,0,0,0
ZFP64,898,799,723,498,756,977
MNAT1,1127,1039,1001,839,894,1206
SAMD4A,837,737,844,392,380,451
RUNX3,101,46,54,89,143,44
MRE11,945,1080,820,625,757,730
PLEKHB1,296,268,152,515,643,39
SERPINB1,13244,13101,13982,5252,4464,29274
CYP3A43,0,0,1,3,0,0
SLC7A9,8,0,4,10,4,0
SPAST,1063,965,858,734,678,798
NRXN3,378,331,364,360,613,122
OSBPL5,400,306,1104,938,1081,1684
AQR,2478,2850,2122,2301,2113,2715
CPS1,31,44,53,23,88,183
C8B,0,0,0,0,0,3
FHL1,194,203,473,463,474,1833
RTF2,4660,4756,4425,2932,3091,4249
GABRA1,0,0,0,0,0,0
NLRP2,2520,2631,295,865,1152,971
SLC45A4,329,311,1185,292,248,201
RNF10,15576,14952,14856,8552,9223,12016
ZNF839,313,372,311,447,516,347
ZDHHC6,3023,2886,2281,1520,1610,1778
GRAMD1B,4,12,42,25,22,44
RNH1,15050,14543,11581,10342,10694,15070
NDUFS1,5505,5021,3852,2813,2618,4818
RB1CC1,2822,3035,5341,3328,3339,1985
ERP44,5669,5917,5411,4065,4633,4904
ALAS1,5463,5828,5047,4344,4866,5828
BIRC3,3159,3740,3722,1398,2040,3181
AKAP11,281,321,371,365,498,317
GLRX2,1156,1113,919,592,748,1021
SNAPC1,702,547,826,739,927,735
DERA,3461,3682,3183,2455,2472,2796
STRAP,9314,9534,7094,3876,3960,10136
ABCC2,26,57,64,7,54,295
DEF6,464,644,1036,918,1151,915
PLEKHO1,224,148,618,314,281,620
GCLM,7556,7715,2726,1972,1871,3084
UBR2,1767,1968,2467,1780,2030,1344
EHD2,22672,21604,11668,8327,12108,17966
DEPDC1,507,766,309,101,109,717
CCDC28A,879,834,1437,1183,1440,519
RRAGD,1498,1606,991,1385,1976,581
HSF2,737,721,637,618,658,621
PHF20,1250,1428,1531,1570,1699,1459
HSD17B6,2133,2063,231,1490,2043,116
NR1H3,585,688,613,870,1018,715
TYMP,10719,10736,21887,4320,3084,5843
NCAPH2,2190,2374,2272,1325,1422,1324
TOMM34,4187,4422,3111,1470,1642,3335
SEC63,3795,4037,3418,3393,4216,4371
KPNA6,4420,4905,4436,3485,3418,4765
VIM,4596,4467,5628,7683,8707,14634
RTEL1-TNFRSF6B,424,346,531,285,333,337
FAS,4776,4522,2795,1270,1781,2418
RNASET2,849,900,828,1056,1380,1206
CD44,12638,12370,11325,12957,12398,28589
KCNG1,223,223,343,75,167,199
AGPAT4,308,472,409,229,267,476
SLAMF7,4115,3558,893,226,242,1491
BTN3A1,943,1176,1092,858,1331,629
MIPEP,2338,2412,1224,1222,1278,2306
PRKCH,1478,1332,3100,1753,1360,1949
INSRR,0,0,0,0,0,0
IFNGR1,9369,10351,9600,7261,8583,12411
B4GALT7,1096,1142,988,910,811,1176
SH2D2A,5,18,2,5,5,29
VRK2,2736,2893,1575,1413,1208,2435
TNFRSF1B,1054,1220,1646,927,1667,1850
VEZT,4995,4958,2735,2364,2727,3052
POU2F2,13,1,105,30,53,78
BRD9,1452,1413,1679,1072,1059,1528
SNX1,7231,6802,4952,3763,3798,5493
TBPL1,698,617,541,411,400,540
ARNTL2,3983,3883,3887,1207,1162,4183
BCLAF1,5109,5705,6410,4519,4664,5945
SLC39A9,4011,3967,4283,2778,4154,4493
ANK1,50,98,257,140,64,236
IBSP,0,0,0,0,0,3
TFB1M,886,993,557,446,599,1100
RABEP1,2744,3270,2347,1573,2120,3951
HMGB3,5812,6324,3179,2029,1933,2455
NUP160,4481,5004,3475,2436,3342,3111
BAK1,3101,3275,2714,1304,1101,3340
MUSK,2,1,10,0,0,2
IKZF2,245,320,1002,387,423,214
GRN,21755,21625,27406,19733,22197,28319
FAM13B,1074,1057,1095,648,831,799
ARHGAP31,837,822,494,781,859,476
CENPQ,252,280,279,244,193,217
SARS1,10023,10485,8135,7478,8283,10209
RANBP3,810,862,710,642,615,687
ARID4A,780,838,1395,1416,1430,647
EIPR1,1640,1630,1060,1035,607,1477
PNPLA6,2688,2537,2273,1309,1139,2129
IFT88,712,899,477,447,680,503
ALG1,3776,3812,2311,1421,1676,2830
ZCCHC8,808,724,919,821,1001,574
ABCF2,2693,2768,1740,977,868,2358
CHPF2,5248,4678,5336,3335,3677,6932
LRRC7,0,1,13,10,14,11
FUT8,2002,1814,1658,1950,2283,1353
UBA6,2019,2371,2960,1611,1558,2611
GAB2,630,652,294,740,1010,259
ATP6V0A1,3106,3327,2389,2887,2852,4148
PIAS1,2713,2891,3474,2537,2796,2658
SLC4A7,850,692,694,778,979,1309
APBA2,120,102,485,305,389,1093
MAP2K3,7187,7078,5754,3018,2930,6308
EFCAB1,127,261,36,285,471,9
TMSB10,37530,38618,33843,20013,20329,48602
ASTE1,403,417,467,407,505,283
RNF19A,2963,2870,3919,2761,3362,1828
PEX3,1435,1485,775,878,952,1274
GABARAPL2,3753,4218,5210,4649,4088,3495
MYOC,0,0,0,0,0,0
SH3YL1,1824,1791,1936,2314,2741,1314
FAM136A,3966,4056,2955,2169,2373,3283
VCL,18865,18045,12385,7244,7416,19311
DEPDC1B,519,498,281,64,30,530
DAPK2,1602,1540,2221,778,1051,144
NSMAF,2383,2342,1757,1239,1493,2274
ADSS2,3137,3275,2807,1557,1797,2324
STAP1,0,2,6,5,5,1
TIMP2,177,216,441,404,189,641
RFC1,1737,1985,1604,1884,2186,1304
TBC1D23,3761,3410,3569,2218,2686,2527
CUL3,5639,5702,6065,4569,3887,5365
MYOM2,127,160,52,111,140,30
OTC,0,0,0,0,0,0
CYP46A1,5,19,12,47,48,6
AC118549.1,2056,2128,1489,1722,2064,2147
SLC18A1,0,0,0,0,0,0
USP2,45,53,21,71,36,37
CASR,1,3,0,7,42,76
TUBG2,688,785,1075,928,1293,673
RPL26L1,1530,1564,1010,636,693,1291
FLT4,202,172,71,156,237,39
NSUN2,5722,5727,5158,2681,2956,6834
FBXO42,1443,1385,1868,1658,1631,1740
MFAP3,1173,1149,950,574,641,1115
MRI1,1160,1172,2542,1557,1612,1583
METTL1,906,757,561,323,395,748
HOXC8,3,2,3,0,0,6
AGA,1202,1188,761,858,792,1009
PI4K2B,2968,3247,2171,1500,1722,1979
BOD1L1,679,795,1657,1420,1619,893
MAT2B,5437,6228,5174,4088,4606,3795
TLL1,43,37,9,0,1,0
EDC4,3671,3825,5838,3172,4363,3930
TRIO,1315,1333,1502,819,1085,1656
VCAN,308,401,403,1138,1165,1542
CLEC16A,1825,1845,1665,1421,1680,1498
MSR1,0,0,0,0,0,0
CDH1,36251,36332,24149,15504,18381,25233
MTREX,4076,3968,3638,3047,3072,3814
DNAH5,347,439,531,545,582,624
ZFYVE16,2247,2164,1957,2084,1626,1983
RIPOR1,665,695,1919,672,1005,1651
C6,28,16,1,46,45,0
RAI14,6647,6409,13362,5997,7475,7800
SOX30,2,11,15,12,10,7
PNKP,2250,2350,2148,1225,1252,1795
BEST2,1,0,3,8,3,2
PHLPP2,343,302,293,189,402,260
SPDL1,925,920,638,388,366,1145
STAU2,2260,2364,2471,2220,2253,1902
SLC66A1,995,1028,656,651,691,806
CTNS,1792,1647,1273,537,506,1150
RTN4R,488,520,317,178,187,228
PHF23,2529,2504,2180,1384,1261,1983
CDH10,0,0,0,0,0,2
INPP4A,1028,1183,1342,775,752,849
RAB27B,13874,14277,8062,3661,3742,11780
PSMA4,8675,9004,6429,3086,3374,7089
MYO16,19,18,25,14,19,39
LSG1,1989,2449,2020,1093,1132,2129
PARP3,874,909,1039,862,1038,588
TNC,8873,9869,4643,7583,9011,6770
THAP3,563,483,619,556,809,390
RIPOR3,129,155,2440,411,655,2174
TDP1,1093,1043,808,591,724,1418
AIFM2,2233,2319,1237,544,808,1019
C2orf83,0,0,0,0,0,0
AL049834.1,315,407,282,370,342,242
MED17,2037,1573,1775,1773,1806,1394
RETSAT,4956,4683,3335,3126,3341,5379
CAPG,8714,9179,6830,3684,4008,8583
AP2S1,2339,2605,1891,1373,1063,3506
USH2A,0,6,0,1,7,0
ZPBP,3,3,0,9,0,0
TG,23,25,32,23,214,37
ADAM28,674,702,2557,1193,1840,510
BARX2,28,18,28,103,148,117
DCUN1D1,2585,2664,2598,1690,1592,2392
JADE2,627,759,1025,544,704,542
ZIC2,0,0,0,0,0,2
LCP2,2,0,0,0,0,22
TRIT1,868,831,842,947,959,1043
ADRB1,123,185,1061,269,274,101
GUCA2B,0,0,0,6,0,0
CUL7,2356,2440,2504,4095,5100,2521
CTNNA1,44415,42104,33325,19922,22669,28705
PHKA2,1200,1175,717,886,873,666
CNTLN,103,122,70,158,156,249
EPHA3,0,0,0,6,10,0
HSPA5,75079,73925,63588,40619,52593,57920
DSG2,28275,28186,16960,9477,15138,24223
GEMIN8,708,794,435,709,785,558
OFD1,1713,1917,4639,2726,3338,1465
GPM6B,76,135,117,365,353,161
MAGEC2,0,0,0,0,0,0
PREX2,0,1,0,19,109,0
WDR37,1169,1425,1295,952,1033,1513
YTHDC2,2286,2237,1437,1386,1121,2035
CTPS2,1549,1606,1247,1187,1446,1199
ATP6V1H,3705,3855,3115,2170,2583,3384
POLR2B,6773,6388,5637,3877,4473,5565
FAM214A,1884,1714,3255,1445,1242,1366
ARAP2,1372,1711,3804,1794,1474,1294
TPR,3569,4145,4186,4295,4907,3747
CP,2862,3124,9790,21084,31762,1385
KIAA0556,655,794,805,783,749,748
DTNBP1,593,679,647,488,584,473
XK,138,141,42,82,82,62
ANO2,3,2,3,21,33,21
C12orf4,1247,1292,784,622,629,1088
SCML1,274,319,273,404,488,342
WWC3,1802,2066,2019,2254,2718,1184
ARHGAP6,23,10,53,68,67,199
FAM184B,0,4,1,13,14,1
MAP4,5830,6070,4067,3179,3142,7929
GOPC,2581,2603,2196,1641,2201,2874
ROS1,7271,7395,2568,5103,6020,3118
USP28,1582,1579,1255,1646,1682,1084
HDAC9,1313,1472,1914,281,413,678
TSPAN17,4503,4312,3342,1688,1606,3533
NOP16,2422,2401,1655,827,948,3118
CC2D2A,773,675,545,585,609,683
RRM2B,9504,8621,4047,7691,10941,6068
ZNF800,1037,1061,1814,1003,1109,974
TNFRSF17,0,0,0,0,0,0
SNX29,235,247,295,381,433,205
LMO3,11380,12266,4939,8846,10815,3534
MRPS10,4081,4602,3131,2087,2039,4811
GUCA1A,6,0,0,8,8,0
RSF1,879,925,1472,1183,1419,909
VPS13D,1957,2227,3159,4462,5995,1264
CELF2,7723,7297,2562,3148,3259,2439
FAM120A,3251,3580,2278,1693,1947,2451
R3HDM1,852,979,550,485,514,1557
COL9A2,439,557,3409,1810,2706,152
KITLG,3626,3922,2315,4342,5033,3779
ERCC8,438,404,320,205,379,495
ADAMTS6,46,23,10,7,8,0
H6PD,1172,1185,2383,3814,4559,1866
VAMP3,6278,6413,5595,3941,4383,7860
PER3,634,742,1348,805,871,193
UTS2,0,1,17,0,2,25
TNFRSF9,38,31,36,40,50,24
EPN3,1337,1373,3259,2278,1470,2331
LTBP1,1135,1254,3775,2717,2636,12695
RCN1,8850,8498,6391,5638,6328,10995
ELN,0,3,5,189,162,0
